installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
129,3316,390254,0uegOgAsjDrBLfn4efvx1E,吊点加强钢筋_B2:吊点加强钢筋_B2:710241,710241,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
130,3396,391166,0uegOgAsjDrBLfn4efvx3R,吊点加强钢筋_B2:吊点加强钢筋_B2:710388,710388,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
131,3327,390375,0uegOgAsjDrBLfn4efvx1S,吊点加强钢筋_B2:吊点加强钢筋_B2:710259,710259,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
132,3407,391287,0uegOgAsjDrBLfn4efvx3G,吊点加强钢筋_B2:吊点加强钢筋_B2:710399,710399,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
133,3267,386369,0uegOgAsjDrBLfn4efvxGZ,吊点加强钢筋_B2:吊点加强钢筋_B2:709132,709132,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
134,3347,390603,0uegOgAsjDrBLfn4efvx24,吊点加强钢筋_B2:吊点加强钢筋_B2:710315,710315,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
135,3256,385334,0uegOgAsjDrBLfn4efvwY3,吊点加强钢筋_B2:吊点加强钢筋_B2:708268,708268,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
136,3336,390482,0uegOgAsjDrBLfn4efvx2w,吊点加强钢筋_B2:吊点加强钢筋_B2:710293,710293,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
137,3264,386336,0uegOgAsjDrBLfn4efvxUH,吊点加强钢筋_B2:吊点加强钢筋_B2:709054,709054,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
138,3344,390570,0uegOgAsjDrBLfn4efvx2A,吊点加强钢筋_B2:吊点加强钢筋_B2:710309,710309,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
139,3265,386347,0uegOgAsjDrBLfn4efvxV$,吊点加强钢筋_B2:吊点加强钢筋_B2:709072,709072,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
140,3345,390581,0uegOgAsjDrBLfn4efvx28,吊点加强钢筋_B2:吊点加强钢筋_B2:710311,710311,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
141,3266,386358,0uegOgAsjDrBLfn4efvxVt,吊点加强钢筋_B2:吊点加强钢筋_B2:709080,709080,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
142,3346,390592,0uegOgAsjDrBLfn4efvx26,吊点加强钢筋_B2:吊点加强钢筋_B2:710313,710313,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
143,3306,390136,0uegOgAsjDrBLfn4efvx1$,吊点加强钢筋_B2:吊点加强钢筋_B2:710224,710224,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
144,3386,391048,0uegOgAsjDrBLfn4efvx3A,吊点加强钢筋_B2:吊点加强钢筋_B2:710373,710373,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
145,3305,390125,0uegOgAsjDrBLfn4efvx1X,吊点加强钢筋_B2:吊点加强钢筋_B2:710222,710222,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
146,3385,391037,0uegOgAsjDrBLfn4efvx3C,吊点加强钢筋_B2:吊点加强钢筋_B2:710371,710371,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
