time_s,installation_step,bar_index,phase,x_mm,y_mm,z_mm,qx,qy,qz,qw,gripper
5165.182349,2015,455,preinsert,8106.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.281643,2015,455,preinsert,8106.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.380936,2015,455,preinsert,8106.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.480230,2015,455,preinsert,8106.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.579523,2015,455,preinsert,8106.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.678817,2015,455,preinsert,8106.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.778111,2015,455,preinsert,8106.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.877404,2015,455,preinsert,8106.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5165.976698,2015,455,preinsert,8106.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.075991,2015,455,preinsert,8106.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.175285,2015,455,preinsert,8106.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.274578,2015,455,preinsert,8106.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.373872,2015,455,preinsert,8106.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.473166,2015,455,preinsert,8106.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.572459,2015,455,preinsert,8106.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.671753,2015,455,preinsert,8106.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.771046,2015,455,insert,8106.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.854380,2015,455,insert,8106.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5166.937713,2015,455,insert,8106.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5167.021046,2015,455,insert,8106.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5167.104380,2015,455,insert,8106.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5167.187713,2015,455,release,8106.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.287713,2015,455,retreat,8106.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.387713,2015,455,retreat,8106.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.487713,2015,455,retreat,8106.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.587713,2015,455,retreat,8106.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.687713,2015,455,retreat,8106.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.787713,2015,455,retreat,8106.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5167.787713,2016,457,preinsert,8231.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5167.887007,2016,457,preinsert,8231.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5167.986300,2016,457,preinsert,8231.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.085594,2016,457,preinsert,8231.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.184887,2016,457,preinsert,8231.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.284181,2016,457,preinsert,8231.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.383474,2016,457,preinsert,8231.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.482768,2016,457,preinsert,8231.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.582061,2016,457,preinsert,8231.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.681355,2016,457,preinsert,8231.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.780649,2016,457,preinsert,8231.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.879942,2016,457,preinsert,8231.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5168.979236,2016,457,preinsert,8231.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.078529,2016,457,preinsert,8231.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.177823,2016,457,preinsert,8231.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.277116,2016,457,preinsert,8231.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.376410,2016,457,insert,8231.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.459743,2016,457,insert,8231.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.543077,2016,457,insert,8231.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.626410,2016,457,insert,8231.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.709743,2016,457,insert,8231.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5169.793077,2016,457,release,8231.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5169.893077,2016,457,retreat,8231.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5169.993077,2016,457,retreat,8231.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5170.093077,2016,457,retreat,8231.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5170.193077,2016,457,retreat,8231.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5170.293077,2016,457,retreat,8231.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5170.393077,2016,457,retreat,8231.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5170.393077,2017,459,preinsert,8356.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5170.492370,2017,459,preinsert,8356.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5170.591664,2017,459,preinsert,8356.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5170.690957,2017,459,preinsert,8356.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5170.790251,2017,459,preinsert,8356.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5170.889544,2017,459,preinsert,8356.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5170.988838,2017,459,preinsert,8356.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5171.088132,2017,459,preinsert,8356.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5171.187425,2017,459,preinsert,8356.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5171.286719,2017,459,preinsert,8356.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
